turn,question_set,answer_type,mean,ci_low,ci_high,n_questions,model
0,Generic control,margin,15.67215662341096,4.967306344231773,23.275211568988155,4,Gemma 3 1B
0,Original claim,margin,14.03168581044435,7.97975344558868,20.24075333520287,4,Gemma 3 1B
3,Generic control,margin,5.7950660486501615,-5.139918804182722,15.951480100358626,4,Gemma 3 1B
3,Original claim,margin,4.142000168474956,0.24795267885614714,6.736416411977612,4,Gemma 3 1B
6,Generic control,margin,4.248114718173496,-1.3151153571774203,9.773464345486882,4,Gemma 3 1B
6,Original claim,margin,-0.6426979978474612,-4.378922370711808,2.528252675028825,4,Gemma 3 1B
9,Generic control,margin,6.88907307906518,0.02514694315529087,15.891892032161486,4,Gemma 3 1B
9,Original claim,margin,-0.6165151691625406,-4.173981660017996,2.607786974781279,4,Gemma 3 1B
10,Generic control,margin,4.953053747439679,0.22593874158792815,10.611298898057795,4,Gemma 3 1B
10,Original claim,margin,-0.48420672955423993,-4.964768444523935,3.0383317798371854,4,Gemma 3 1B
12,Generic control,margin,6.717831892714123,-2.8008561532429974,15.13614421440822,4,Gemma 3 1B
12,Original claim,margin,1.5202381047012983,-2.026960841787727,5.244847356641231,4,Gemma 3 1B
15,Generic control,margin,11.090710911703464,0.10375790259360329,25.437569694670096,4,Gemma 3 1B
15,Original claim,margin,2.8700035039576783,-0.2241206247048102,5.964127632620167,4,Gemma 3 1B
18,Generic control,margin,11.326765650026626,-1.0885815019058653,23.742112801959117,4,Gemma 3 1B
18,Original claim,margin,2.3922755531157316,0.8329103597728755,3.9516407464585868,4,Gemma 3 1B
21,Generic control,margin,11.321708448711908,0.8064291977870197,23.52729937957423,4,Gemma 3 1B
21,Original claim,margin,1.9929739675240894,-2.293920133057916,6.279868068106095,4,Gemma 3 1B
24,Generic control,margin,9.579108723221713,-0.9464619085498741,23.87132242728807,4,Gemma 3 1B
24,Original claim,margin,2.4144784487534934,-1.043378947986053,5.837223258886075,4,Gemma 3 1B
27,Generic control,margin,9.760339496884937,0.7018696510428253,21.952627403992313,4,Gemma 3 1B
27,Original claim,margin,1.8559990668456083,0.4905090488475687,3.2524163262456955,4,Gemma 3 1B
30,Generic control,margin,8.04470024299483,-2.12346935451547,20.592037308501087,4,Gemma 3 1B
30,Original claim,margin,1.9019921666362718,-0.8934725693669134,4.697456902639457,4,Gemma 3 1B
